episode,total_reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
45,239.706312686,5.0399999999999805,0.0,0.0,141.361465224,0.0,0.0,0.0,0.0,0.0,28.1827537038,0.0,0.0,0.0
46,239.705611894,5.0399999999999805,0.0,0.0,141.344032019,0.0,0.0,0.0,0.0,0.0,28.1695271813,0.0,0.0,0.0
47,239.703526465,5.0399999999999805,0.0,0.0,141.387756751,0.0,0.0,0.0,0.0,0.0,28.1986453836,0.0,0.0,0.0
48,239.703015266,5.0399999999999805,0.0,0.0,141.373848582,0.0,0.0,0.0,0.0,0.0,28.1680821264,0.0,0.0,0.0
49,239.704444945,5.0399999999999805,0.0,0.0,141.381616576,0.0,0.0,0.0,0.0,0.0,28.1744938907,0.0,0.0,0.0
50,239.704401714,5.0399999999999805,0.0,0.0,141.378015072,0.0,0.0,0.0,0.0,0.0,28.1881503987,0.0,0.0,0.0
51,239.710307368,5.0399999999999805,0.0,0.0,141.312891817,0.0,0.0,0.0,0.0,0.0,28.1924743426,0.0,0.0,0.0
52,239.709055786,5.0399999999999805,0.0,0.0,141.326366511,0.0,0.0,0.0,0.0,0.0,28.1625873712,0.0,0.0,0.0
53,239.707189096,5.0399999999999805,0.0,0.0,141.352621843,0.0,0.0,0.0,0.0,0.0,28.1911759655,0.0,0.0,0.0
54,239.706946678,5.0399999999999805,0.0,0.0,141.32886347,0.0,0.0,0.0,0.0,0.0,28.1798648578,0.0,0.0,0.0
55,239.707687099,5.0399999999999805,0.0,0.0,141.369714696,0.0,0.0,0.0,0.0,0.0,28.1750415301,0.0,0.0,0.0
56,239.731744415,5.0399999999999805,0.0,0.0,141.150542767,0.0,0.0,0.0,0.0,0.0,28.1712959023,0.0,0.0,0.0
57,239.703401185,5.0399999999999805,0.0,0.0,141.375756331,0.0,0.0,0.0,0.0,0.0,28.1742416694,0.0,0.0,0.0
58,239.73380544,5.0399999999999805,0.0,0.0,141.131889513,0.0,0.0,0.0,0.0,0.0,28.1698547798,0.0,0.0,0.0
59,242.69696119,5.0399999999999805,0.0,0.0,76.6876620815,0.0,0.0,0.0,0.0,0.0,-12.7216076039,0.0,0.0,0.0
60,241.89341029,5.0399999999999805,0.0,0.0,124.22000649,0.0,0.0,0.0,0.0,0.0,28.1621557288,0.0,0.0,0.0
61,239.746704553,5.0399999999999805,0.0,0.0,141.058038394,0.0,0.0,0.0,0.0,0.0,28.1799911192,0.0,0.0,0.0
62,239.703633977,5.0399999999999805,0.0,0.0,141.365832521,0.0,0.0,0.0,0.0,0.0,28.1666396995,0.0,0.0,0.0
63,239.705526862,5.0399999999999805,0.0,0.0,141.355655009,0.0,0.0,0.0,0.0,0.0,28.1793853874,0.0,0.0,0.0
64,239.703515837,5.0399999999999805,0.0,0.0,141.380636694,0.0,0.0,0.0,0.0,0.0,28.1728367068,0.0,0.0,0.0
65,239.707838058,5.0399999999999805,0.0,0.0,141.339305443,0.0,0.0,0.0,0.0,0.0,28.1773058938,0.0,0.0,0.0
66,239.703890182,5.0399999999999805,0.0,0.0,141.376862261,0.0,0.0,0.0,0.0,0.0,28.1688597175,0.0,0.0,0.0
67,239.705355748,5.0399999999999805,0.0,0.0,141.361320078,0.0,0.0,0.0,0.0,0.0,28.1754072946,0.0,0.0,0.0
68,239.706322334,5.0399999999999805,0.0,0.0,141.363301336,0.0,0.0,0.0,0.0,0.0,28.1685785709,0.0,0.0,0.0
69,239.705523498,5.0399999999999805,0.0,0.0,141.360885592,0.0,0.0,0.0,0.0,0.0,28.178520246,0.0,0.0,0.0
70,239.707246876,5.0399999999999805,0.0,0.0,141.349345298,0.0,0.0,0.0,0.0,0.0,28.1711625971,0.0,0.0,0.0
71,239.714008277,5.0399999999999805,0.0,0.0,141.25357433,0.0,0.0,0.0,0.0,0.0,28.1764522817,0.0,0.0,0.0
72,239.706994485,5.0399999999999805,0.0,0.0,141.342774352,0.0,0.0,0.0,0.0,0.0,28.1753480968,0.0,0.0,0.0
73,239.710286082,5.0399999999999805,0.0,0.0,141.312456775,0.0,0.0,0.0,0.0,0.0,28.1614451904,0.0,0.0,0.0
74,239.703361194,5.0399999999999805,0.0,0.0,141.370704434,0.0,0.0,0.0,0.0,0.0,28.1757342205,0.0,0.0,0.0
75,239.704187264,5.0399999999999805,0.0,0.0,141.370590172,0.0,0.0,0.0,0.0,0.0,28.1875765504,0.0,0.0,0.0
76,239.705819604,5.0399999999999805,0.0,0.0,141.340701017,0.0,0.0,0.0,0.0,0.0,28.1821156597,0.0,0.0,0.0
77,239.699525712,5.0399999999999805,0.0,0.0,141.427405156,0.0,0.0,0.0,0.0,0.0,28.1892615018,0.0,0.0,0.0
78,239.704736298,5.0399999999999805,0.0,0.0,141.363749435,0.0,0.0,0.0,0.0,0.0,28.1848991889,0.0,0.0,0.0
79,239.709458412,5.0399999999999805,0.0,0.0,141.304635663,0.0,0.0,0.0,0.0,0.0,28.1582855881,0.0,0.0,0.0
80,239.709902724,5.0399999999999805,0.0,0.0,141.303112332,0.0,0.0,0.0,0.0,0.0,28.1511134689,0.0,0.0,0.0
81,239.702857435,5.0399999999999805,0.0,0.0,141.368527233,0.0,0.0,0.0,0.0,0.0,28.1584238373,0.0,0.0,0.0
82,239.708195885,5.0399999999999805,0.0,0.0,141.338557926,0.0,0.0,0.0,0.0,0.0,28.1766673704,0.0,0.0,0.0
83,239.703573688,5.0399999999999805,0.0,0.0,141.385905831,0.0,0.0,0.0,0.0,0.0,28.1860505452,0.0,0.0,0.0
84,239.710370642,5.0399999999999805,0.0,0.0,141.286624558,0.0,0.0,0.0,0.0,0.0,28.1716632642,0.0,0.0,0.0
85,239.708393297,5.0399999999999805,0.0,0.0,141.331444799,0.0,0.0,0.0,0.0,0.0,28.1765530101,0.0,0.0,0.0
86,239.702481295,5.0399999999999805,0.0,0.0,141.398754683,0.0,0.0,0.0,0.0,0.0,28.1803314256,0.0,0.0,0.0
87,239.702739407,5.0399999999999805,0.0,0.0,141.370660856,0.0,0.0,0.0,0.0,0.0,28.1753821377,0.0,0.0,0.0
88,239.706904574,5.0399999999999805,0.0,0.0,141.331869268,0.0,0.0,0.0,0.0,0.0,28.1614252684,0.0,0.0,0.0
89,239.703826622,5.0399999999999805,0.0,0.0,141.379060886,0.0,0.0,0.0,0.0,0.0,28.174522558,0.0,0.0,0.0
90,239.706266936,5.0399999999999805,0.0,0.0,141.3553769,0.0,0.0,0.0,0.0,0.0,28.1768408132,0.0,0.0,0.0
91,239.706813001,5.0399999999999805,0.0,0.0,141.332414969,0.0,0.0,0.0,0.0,0.0,28.1602969688,0.0,0.0,0.0
92,239.70751097,5.0399999999999805,0.0,0.0,141.335714595,0.0,0.0,0.0,0.0,0.0,28.1736343732,0.0,0.0,0.0
93,239.70818341,5.0399999999999805,0.0,0.0,141.328118767,0.0,0.0,0.0,0.0,0.0,28.1632034231,0.0,0.0,0.0
94,239.707791631,5.0399999999999805,0.0,0.0,141.329498515,0.0,0.0,0.0,0.0,0.0,28.171922919,0.0,0.0,0.0
95,239.707599371,5.0399999999999805,0.0,0.0,141.349033681,0.0,0.0,0.0,0.0,0.0,28.191881072,0.0,0.0,0.0
96,239.706331039,5.0399999999999805,0.0,0.0,141.343310805,0.0,0.0,0.0,0.0,0.0,28.1674159985,0.0,0.0,0.0
97,239.705179799,5.0399999999999805,0.0,0.0,141.355503803,0.0,0.0,0.0,0.0,0.0,28.1747007652,0.0,0.0,0.0
98,239.702302971,5.0399999999999805,0.0,0.0,141.377149781,0.0,0.0,0.0,0.0,0.0,28.1846042161,0.0,0.0,0.0
99,239.704168511,5.0399999999999805,0.0,0.0,141.384044308,0.0,0.0,0.0,0.0,0.0,28.1846024412,0.0,0.0,0.0
100,239.705011527,5.0399999999999805,0.0,0.0,141.360430011,0.0,0.0,0.0,0.0,0.0,28.1656012292,0.0,0.0,0.0
101,239.707251283,5.0399999999999805,0.0,0.0,141.360541606,0.0,0.0,0.0,0.0,0.0,28.2018717088,0.0,0.0,0.0
102,239.706708341,5.0399999999999805,0.0,0.0,141.36440853,0.0,0.0,0.0,0.0,0.0,28.1810080898,0.0,0.0,0.0
103,239.703565176,5.0399999999999805,0.0,0.0,141.385211067,0.0,0.0,0.0,0.0,0.0,28.1767685499,0.0,0.0,0.0
104,239.703917139,5.0399999999999805,0.0,0.0,141.361590823,0.0,0.0,0.0,0.0,0.0,28.1845848093,0.0,0.0,0.0
105,239.706811178,5.0399999999999805,0.0,0.0,141.346244401,0.0,0.0,0.0,0.0,0.0,28.1878969209,0.0,0.0,0.0
106,239.705217747,5.0399999999999805,0.0,0.0,141.360891385,0.0,0.0,0.0,0.0,0.0,28.205961953,0.0,0.0,0.0
107,239.70328235,5.0399999999999805,0.0,0.0,141.392144966,0.0,0.0,0.0,0.0,0.0,28.19882235,0.0,0.0,0.0
108,239.704946035,5.0399999999999805,0.0,0.0,141.369780294,0.0,0.0,0.0,0.0,0.0,28.1884584633,0.0,0.0,0.0
109,239.705408579,5.0399999999999805,0.0,0.0,141.362552444,0.0,0.0,0.0,0.0,0.0,28.1656758095,0.0,0.0,0.0
110,239.70851673,5.0399999999999805,0.0,0.0,141.331354254,0.0,0.0,0.0,0.0,0.0,28.1663721981,0.0,0.0,0.0
111,239.710465592,5.0399999999999805,0.0,0.0,141.304773376,0.0,0.0,0.0,0.0,0.0,28.1607433034,0.0,0.0,0.0
112,239.704185196,5.0399999999999805,0.0,0.0,141.379336192,0.0,0.0,0.0,0.0,0.0,28.1930776859,0.0,0.0,0.0
113,239.70800303,5.0399999999999805,0.0,0.0,141.331192,0.0,0.0,0.0,0.0,0.0,28.1783634782,0.0,0.0,0.0
114,239.705832138,5.0399999999999805,0.0,0.0,141.35729779,0.0,0.0,0.0,0.0,0.0,28.1715940242,0.0,0.0,0.0
115,239.705863189,5.0399999999999805,0.0,0.0,141.357050467,0.0,0.0,0.0,0.0,0.0,28.1809896522,0.0,0.0,0.0
116,239.708570787,5.0399999999999805,0.0,0.0,141.32860383,0.0,0.0,0.0,0.0,0.0,28.1665078841,0.0,0.0,0.0
117,239.707848161,5.0399999999999805,0.0,0.0,141.335265278,0.0,0.0,0.0,0.0,0.0,28.1666003467,0.0,0.0,0.0
118,239.708443884,5.0399999999999805,0.0,0.0,141.335232393,0.0,0.0,0.0,0.0,0.0,28.1927266387,0.0,0.0,0.0
119,239.703345058,5.0399999999999805,0.0,0.0,141.39133291,0.0,0.0,0.0,0.0,0.0,28.1900049989,0.0,0.0,0.0
120,239.707785831,5.0399999999999805,0.0,0.0,141.343614575,0.0,0.0,0.0,0.0,0.0,28.1926593699,0.0,0.0,0.0
121,239.707291945,5.0399999999999805,0.0,0.0,141.34133959,0.0,0.0,0.0,0.0,0.0,28.1793732945,0.0,0.0,0.0
122,239.704404983,5.0399999999999805,0.0,0.0,141.368466025,0.0,0.0,0.0,0.0,0.0,28.1695367831,0.0,0.0,0.0
123,239.707263069,5.0399999999999805,0.0,0.0,141.333589993,0.0,0.0,0.0,0.0,0.0,28.1619823888,0.0,0.0,0.0
124,239.706722839,5.0399999999999805,0.0,0.0,141.351336889,0.0,0.0,0.0,0.0,0.0,28.1712065464,0.0,0.0,0.0
125,239.704121473,5.0399999999999805,0.0,0.0,141.374690355,0.0,0.0,0.0,0.0,0.0,28.189337342,0.0,0.0,0.0
126,239.706290305,5.0399999999999805,0.0,0.0,141.351711764,0.0,0.0,0.0,0.0,0.0,28.1704650351,0.0,0.0,0.0
127,239.707869053,5.0399999999999805,0.0,0.0,141.350359929,0.0,0.0,0.0,0.0,0.0,28.1735366756,0.0,0.0,0.0
128,239.70686711,5.0399999999999805,0.0,0.0,141.33269389,0.0,0.0,0.0,0.0,0.0,28.154862946,0.0,0.0,0.0
129,239.707558071,5.0399999999999805,0.0,0.0,141.354106406,0.0,0.0,0.0,0.0,0.0,28.1752915657,0.0,0.0,0.0
130,239.706750299,5.0399999999999805,0.0,0.0,141.340773962,0.0,0.0,0.0,0.0,0.0,28.172098871,0.0,0.0,0.0
131,239.706665763,5.0399999999999805,0.0,0.0,141.350733955,0.0,0.0,0.0,0.0,0.0,28.1710329117,0.0,0.0,0.0
132,239.708986072,5.0399999999999805,0.0,0.0,141.31640819,0.0,0.0,0.0,0.0,0.0,28.1593974516,0.0,0.0,0.0
133,239.708957172,5.0399999999999805,0.0,0.0,141.306278445,0.0,0.0,0.0,0.0,0.0,28.1745892239,0.0,0.0,0.0
134,239.703547505,5.0399999999999805,0.0,0.0,141.392866862,0.0,0.0,0.0,0.0,0.0,28.1940173344,0.0,0.0,0.0
135,239.706636464,5.0399999999999805,0.0,0.0,141.367238565,0.0,0.0,0.0,0.0,0.0,28.1920270975,0.0,0.0,0.0
136,239.707218778,5.0399999999999805,0.0,0.0,141.354740941,0.0,0.0,0.0,0.0,0.0,28.1716341835,0.0,0.0,0.0
137,239.706594772,5.0399999999999805,0.0,0.0,141.343349186,0.0,0.0,0.0,0.0,0.0,28.1671953319,0.0,0.0,0.0
138,239.70891948,5.0399999999999805,0.0,0.0,141.313769568,0.0,0.0,0.0,0.0,0.0,28.1669270561,0.0,0.0,0.0
139,239.707078917,5.0399999999999805,0.0,0.0,141.34538531,0.0,0.0,0.0,0.0,0.0,28.1949771702,0.0,0.0,0.0
140,239.706083111,5.0399999999999805,0.0,0.0,141.342995662,0.0,0.0,0.0,0.0,0.0,28.1643826892,0.0,0.0,0.0
141,239.707105925,5.0399999999999805,0.0,0.0,141.328733965,0.0,0.0,0.0,0.0,0.0,28.1778136776,0.0,0.0,0.0
142,239.705836107,5.0399999999999805,0.0,0.0,141.356506068,0.0,0.0,0.0,0.0,0.0,28.1754211534,0.0,0.0,0.0
143,239.701235922,5.0399999999999805,0.0,0.0,141.4122161,0.0,0.0,0.0,0.0,0.0,28.2026252829,0.0,0.0,0.0
144,239.702657398,5.0399999999999805,0.0,0.0,141.383022205,0.0,0.0,0.0,0.0,0.0,28.1659183418,0.0,0.0,0.0
145,239.706289807,5.0399999999999805,0.0,0.0,141.344018313,0.0,0.0,0.0,0.0,0.0,28.1761588613,0.0,0.0,0.0
146,239.706975241,5.0399999999999805,0.0,0.0,141.351498419,0.0,0.0,0.0,0.0,0.0,28.1785504543,0.0,0.0,0.0
147,239.703155204,5.0399999999999805,0.0,0.0,141.378458142,0.0,0.0,0.0,0.0,0.0,28.170509932,0.0,0.0,0.0
148,239.707710565,5.0399999999999805,0.0,0.0,141.324532344,0.0,0.0,0.0,0.0,0.0,28.1833411062,0.0,0.0,0.0
149,239.701021034,5.0399999999999805,0.0,0.0,141.404481366,0.0,0.0,0.0,0.0,0.0,28.1934551458,0.0,0.0,0.0
150,239.705196356,5.0399999999999805,0.0,0.0,141.360618198,0.0,0.0,0.0,0.0,0.0,28.1726554011,0.0,0.0,0.0
151,239.707313283,5.0399999999999805,0.0,0.0,141.363171702,0.0,0.0,0.0,0.0,0.0,28.201375097,0.0,0.0,0.0
152,239.704797155,5.0399999999999805,0.0,0.0,141.365578873,0.0,0.0,0.0,0.0,0.0,28.1801752023,0.0,0.0,0.0
153,239.707279282,5.0399999999999805,0.0,0.0,141.361502272,0.0,0.0,0.0,0.0,0.0,28.1953612587,0.0,0.0,0.0
154,239.707160948,5.0399999999999805,0.0,0.0,141.33406909,0.0,0.0,0.0,0.0,0.0,28.1782258464,0.0,0.0,0.0
155,239.708904649,5.0399999999999805,0.0,0.0,141.327235602,0.0,0.0,0.0,0.0,0.0,28.1809195927,0.0,0.0,0.0
156,239.704272966,5.0399999999999805,0.0,0.0,141.360967532,0.0,0.0,0.0,0.0,0.0,28.1750490827,0.0,0.0,0.0
157,239.70485802,5.0399999999999805,0.0,0.0,141.368200185,0.0,0.0,0.0,0.0,0.0,28.1750591909,0.0,0.0,0.0
158,239.705228781,5.0399999999999805,0.0,0.0,141.352982153,0.0,0.0,0.0,0.0,0.0,28.1832641563,0.0,0.0,0.0
159,239.708745081,5.0399999999999805,0.0,0.0,141.328718004,0.0,0.0,0.0,0.0,0.0,28.1610541967,0.0,0.0,0.0
160,239.704461433,5.0399999999999805,0.0,0.0,141.365570006,0.0,0.0,0.0,0.0,0.0,28.1908065772,0.0,0.0,0.0
161,239.711421402,5.0399999999999805,0.0,0.0,141.287781666,0.0,0.0,0.0,0.0,0.0,28.1684366598,0.0,0.0,0.0
162,239.700017339,5.0399999999999805,0.0,0.0,141.430808472,0.0,0.0,0.0,0.0,0.0,28.1919826648,0.0,0.0,0.0
163,239.705492791,5.0399999999999805,0.0,0.0,141.350897195,0.0,0.0,0.0,0.0,0.0,28.1799204795,0.0,0.0,0.0
164,239.706204354,5.0399999999999805,0.0,0.0,141.355535946,0.0,0.0,0.0,0.0,0.0,28.1853527724,0.0,0.0,0.0
165,239.707637318,5.0399999999999805,0.0,0.0,141.321072462,0.0,0.0,0.0,0.0,0.0,28.160692848,0.0,0.0,0.0
166,239.708240304,5.0399999999999805,0.0,0.0,141.343064589,0.0,0.0,0.0,0.0,0.0,28.1788604455,0.0,0.0,0.0
167,239.705466488,5.0399999999999805,0.0,0.0,141.348999082,0.0,0.0,0.0,0.0,0.0,28.182976672,0.0,0.0,0.0
168,239.707574976,5.0399999999999805,0.0,0.0,141.337743401,0.0,0.0,0.0,0.0,0.0,28.1889823572,0.0,0.0,0.0
169,239.707463692,5.0399999999999805,0.0,0.0,141.348366499,0.0,0.0,0.0,0.0,0.0,28.1874011091,0.0,0.0,0.0
170,239.708045858,5.0399999999999805,0.0,0.0,141.330364706,0.0,0.0,0.0,0.0,0.0,28.1714333444,0.0,0.0,0.0
171,239.706330335,5.0399999999999805,0.0,0.0,141.339765583,0.0,0.0,0.0,0.0,0.0,28.1798522724,0.0,0.0,0.0
172,239.707026528,5.0399999999999805,0.0,0.0,141.33892183,0.0,0.0,0.0,0.0,0.0,28.1777390912,0.0,0.0,0.0
173,239.70131662,5.0399999999999805,0.0,0.0,141.41309769,0.0,0.0,0.0,0.0,0.0,28.1899340781,0.0,0.0,0.0
174,239.712072526,5.0399999999999805,0.0,0.0,141.288881388,0.0,0.0,0.0,0.0,0.0,28.1732406242,0.0,0.0,0.0
175,239.705668831,5.0399999999999805,0.0,0.0,141.356203434,0.0,0.0,0.0,0.0,0.0,28.186345096,0.0,0.0,0.0
176,239.703881243,5.0399999999999805,0.0,0.0,141.366052685,0.0,0.0,0.0,0.0,0.0,28.1767611022,0.0,0.0,0.0
177,239.706271356,5.0399999999999805,0.0,0.0,141.349956716,0.0,0.0,0.0,0.0,0.0,28.1675515243,0.0,0.0,0.0
178,239.703039963,5.0399999999999805,0.0,0.0,141.391810664,0.0,0.0,0.0,0.0,0.0,28.1957025427,0.0,0.0,0.0
179,239.705680042,5.0399999999999805,0.0,0.0,141.350125569,0.0,0.0,0.0,0.0,0.0,28.1742874454,0.0,0.0,0.0
180,239.701145917,5.0399999999999805,0.0,0.0,141.414889242,0.0,0.0,0.0,0.0,0.0,28.1890509343,0.0,0.0,0.0
181,239.706879869,5.0399999999999805,0.0,0.0,141.338968369,0.0,0.0,0.0,0.0,0.0,28.1701939203,0.0,0.0,0.0
182,239.706436853,5.0399999999999805,0.0,0.0,141.334137972,0.0,0.0,0.0,0.0,0.0,28.1588038426,0.0,0.0,0.0
183,239.709179849,5.0399999999999805,0.0,0.0,141.311294376,0.0,0.0,0.0,0.0,0.0,28.1623003986,0.0,0.0,0.0
184,239.70391913,5.0399999999999805,0.0,0.0,141.377672352,0.0,0.0,0.0,0.0,0.0,28.1845457784,0.0,0.0,0.0
185,239.706156377,5.0399999999999805,0.0,0.0,141.35982749,0.0,0.0,0.0,0.0,0.0,28.1790301133,0.0,0.0,0.0
186,239.705419639,5.0399999999999805,0.0,0.0,141.364994398,0.0,0.0,0.0,0.0,0.0,28.1928418715,0.0,0.0,0.0
187,239.707436389,5.0399999999999805,0.0,0.0,141.352240079,0.0,0.0,0.0,0.0,0.0,28.1901771843,0.0,0.0,0.0
188,239.708826947,5.0399999999999805,0.0,0.0,141.310608671,0.0,0.0,0.0,0.0,0.0,28.181228834,0.0,0.0,0.0
189,239.706076984,5.0399999999999805,0.0,0.0,141.369342248,0.0,0.0,0.0,0.0,0.0,28.1933856025,0.0,0.0,0.0
190,239.705915247,5.0399999999999805,0.0,0.0,141.340953641,0.0,0.0,0.0,0.0,0.0,28.1592841166,0.0,0.0,0.0
191,239.701871921,5.0399999999999805,0.0,0.0,141.411899812,0.0,0.0,0.0,0.0,0.0,28.1813051055,0.0,0.0,0.0
192,239.706239673,5.0399999999999805,0.0,0.0,141.345399353,0.0,0.0,0.0,0.0,0.0,28.1636833659,0.0,0.0,0.0
193,239.704640346,5.0399999999999805,0.0,0.0,141.370223184,0.0,0.0,0.0,0.0,0.0,28.1689605353,0.0,0.0,0.0
194,239.705512222,5.0399999999999805,0.0,0.0,141.369019185,0.0,0.0,0.0,0.0,0.0,28.1984871608,0.0,0.0,0.0
195,239.707420933,5.0399999999999805,0.0,0.0,141.346646444,0.0,0.0,0.0,0.0,0.0,28.188826381,0.0,0.0,0.0
196,239.70553931,5.0399999999999805,0.0,0.0,141.354154357,0.0,0.0,0.0,0.0,0.0,28.1692635689,0.0,0.0,0.0
197,239.707041771,5.0399999999999805,0.0,0.0,141.342701049,0.0,0.0,0.0,0.0,0.0,28.1859136489,0.0,0.0,0.0
