time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.33950207192e-07,2.06059246158e-07,10.0027555881,0.000209777081083,0.000641575127252,0.0,-6.59502905398e-05,1.82328179671e-05,0.0918492460937,0.0097044502908,0.0263103550991,0.0,433.8946233779751,436.0973937195209,433.20635413094334,434.02139206733887
0.12000000000000001,-2.68225807551e-05,8.94595922819e-06,10.0142828747,0.000914292570156,0.00210871160635,0.0,-0.000978668836549,0.000348630830381,0.29236282542,0.0155336769544,0.0204504328905,0.0,467.68031260296374,467.22380487804014,467.7758105682872,468.2293169397578
0.18,-0.000136823381183,5.36653229892e-05,10.0360376874,0.00188195381795,0.00352206765438,0.0,-0.00283117233907,0.00124456981902,0.432753748,0.0172899452547,0.0291374070123,0.0,449.1418235709755,449.8457468104708,449.72363892178583,449.8657526614687
0.23999999999999996,-0.000388732178497,0.000172523905149,10.0656940401,0.00269253582058,0.00516730795596,0.0,-0.0057447001232,0.00281608528241,0.55573803273,0.00460945915341,0.0237454708596,0.0,444.90667902880904,444.4652470592332,444.5366868646363,443.4964484909903
0.3,-0.000860963098956,0.000406088699849,10.104831181,0.0031934983169,0.00612337619907,0.0,-0.0101434083782,0.00501514741388,0.74872551075,0.0149400298571,-0.00818151388139,0.0,467.5645492982562,465.07087300514127,464.9222586585327,465.7307256443613
0.36000000000000004,-0.00162402933473,0.000792628442811,10.1575161682,0.00428562400065,0.00504430337323,0.0,-0.0152202890538,0.00799447937499,1.00724905053,0.0240363283387,-0.0597296096763,0.0,486.96459289350946,483.09349759499884,485.0318122074453,485.71429697611217
0.4200000000000001,-0.00263135416971,0.00137008853352,10.2217936658,0.00554706162484,0.00129159504077,0.0,-0.0179681049803,0.0113979953429,1.13521637387,0.0141922871221,-0.0688694964684,0.0,446.50372701616703,445.75469402990825,447.71363105599823,446.91207313591553
0.48000000000000015,-0.00372120179473,0.00218166756148,10.2946308151,0.00641721185158,6.28029148038,0.0,-0.0179006991865,0.0157488071294,1.29252329206,0.0151158079967,-0.0715929509863,0.0,456.91450806669593,456.69379390587346,455.18434674489504,455.2581249736009
0.5400000000000001,-0.00471629639885,0.00326888481181,10.3761211562,0.00740357483006,6.2765350659,0.0,-0.0148450824143,0.0205917803747,1.42366469979,0.018963052589,-0.0489242853323,0.0,447.0986352606772,448.9385517918113,448.49697691847115,448.80921858796813
0.6000000000000002,-0.00548915534094,0.00462904910708,10.4602593634,0.00847650240502,6.27329253427,0.0,-0.0106688389568,0.0248368864917,1.38099244751,0.0156277364667,-0.0669941193008,0.0,392.1609015211577,390.4764654485646,391.10567061364793,390.7949096210928
0.6600000000000003,-0.00585697569841,0.00634066372916,10.5510578487,0.00903695268813,6.26921483862,0.0,-0.00108419841003,0.0323143017868,1.64527518426,-0.00781188309273,-0.0699693025721,0.0,488.0380240439178,487.8129024868519,489.1511967432646,487.402632725734
0.7200000000000003,-0.0056197961897,0.00846286245123,10.6526086249,0.00824821190765,6.2646396948,0.0,0.00942726579784,0.0383637546595,1.73960540205,-0.0268254704895,-0.093374041704,0.0,438.9775009025427,437.0262207197134,438.3822345739102,436.7996685218258
0.7800000000000004,-0.00456900023387,0.0109615500422,10.7641035187,0.0063661675243,6.25911178126,0.0,0.0262720254217,0.0447117364237,1.9765000188,-0.0424955891816,-0.0897582866194,0.0,481.39007452371925,481.65713963133055,481.61753237026204,480.43065537020203
0.8400000000000004,-0.00255848194651,0.0137462729394,10.8823562807,0.00345813305306,6.2538913283,0.0,0.0411989494764,0.0478822815754,1.96526732911,-0.0644058057481,-0.0820099494942,0.0,403.54638584626133,404.2380372922619,405.333632170962,403.3580045606865
0.9000000000000005,0.000526335281743,0.0166748528302,11.0028998723,6.28234597812,6.24899709386,0.0,0.0621150508509,0.049334516422,2.05268445576,-0.0927419037603,-0.0807065333426,0.0,436.0769426882753,436.18027506787786,438.59182382613557,436.22775493704916
0.9600000000000005,0.00506915683737,0.0195913115884,11.131646548,6.27670272324,6.24397272838,0.0,0.0898650198952,0.0472387597752,2.23850358541,-0.0968151823851,-0.0906198382151,0.0,467.7800275619999,467.0020628996529,467.66336448002545,467.3389710918324
1.0200000000000005,0.0113849496474,0.0222522741784,11.2712663191,6.27120606905,6.23883333031,0.0,0.121244538531,0.0408240019581,2.41510137923,-0.0828372899156,-0.0772302424031,0.0,464.5768068380081,465.61966677159955,465.2922682060468,466.3785019737132
1.0800000000000005,0.0197351479886,0.0243949817806,11.4222847187,6.26632689651,6.23408702729,0.0,0.157624739626,0.0300283170562,2.61836668585,-0.0784465427031,-0.0831436705479,0.0,473.8792855692391,473.4199166294934,474.55222892777215,474.88423954276993
1.1400000000000006,0.0303921468991,0.0257716061772,11.5856956433,6.26118160221,6.22946684362,0.0,0.198148760505,0.0152944016516,2.828126078,-0.107292473089,-0.0669213228663,0.0,476.09371784428504,477.328903326892,478.53717986888535,476.33045583710793
1.2000000000000006,0.0434522097579,0.0261908381939,11.7592024124,6.25481772208,6.22517704954,0.0,0.237606454522,-0.00199013693568,2.9550677551,-0.103717590254,-0.0827217057667,0.0,454.6748264864475,453.40326956161425,452.48705780515166,452.76512227652915
1.2600000000000007,0.0586519932988,0.0255989150573,11.9348388889,6.24845832001,6.22045422636,0.0,0.269442446805,-0.0182406760099,2.89958027624,-0.110968944284,-0.0717123431205,0.0,393.8768256796602,394.8878440543897,393.9369876400376,393.2543981691336
